Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.67118579864502,69.33237812994872,0.4834003818035126,112.13922760009766
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.686900520324706,69.19828046486626,0.4854001808166504,112.37179336547851
System Direction (kWh)_t+15min,11398.035361328126,16680.16782644157,0.6295408326387405,108.73227966308593
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.48036056518555,82.52080817609787,0.2682447975873947,119.31473258972169
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.52217796325684,82.43000295046333,0.2698592907190323,119.38770637512206
System Direction (kWh)_t+30min,13053.36619140625,19421.683443779115,0.4979619389772415,117.01763381958008
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.37484405517578,87.41853294868972,0.1788282161951065,123.65323028564453
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.39684684753418,87.29446970777896,0.1811611944437027,123.75486854553223
System Direction (kWh)_t+45min,14067.112861328125,21276.898437638687,0.3975496649742126,122.03441551208496
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.33652935028076,89.53848428555028,0.13853393137454986,126.75152397155762
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.34969924926758,89.46458080081376,0.1399543595314026,126.86056343078613
System Direction (kWh)_t+60min,14865.147890625,22742.501824990053,0.31174070954322813,125.36637680053711
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.499189453125,92.35153488792969,0.08355163455009461,130.86863677978516
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.47191253662109,92.26098606460289,0.0853433096408844,130.8024301147461
System Direction (kWh)_t+75min,15610.251162109374,24272.405828445455,0.21608907580375672,129.2730046081543
