Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.555579566955565,69.07097731658378,0.4873147141933441,111.958451461792
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.54403312683105,68.97049000594835,0.4888116371631622,111.96058029174804
System Direction (kWh)_t+15min,11318.10591796875,16523.402716578752,0.6364854168891907,107.64617012023926
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.39428268432617,82.37222454206801,0.2708848685026169,119.11278335571289
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.44551055908203,82.27451489443506,0.27261455059051515,119.20470581054687
System Direction (kWh)_t+30min,13029.327724609375,19320.05550035401,0.5032249021530152,116.19629219055176
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.3778535079956,87.3309807282206,0.1804711800813675,123.70221717834472
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.328951110839846,87.22360340009827,0.18248979210853578,123.54995414733887
System Direction (kWh)_t+45min,14066.089140625,21179.241562704276,0.4030873376131058,121.10944641113281
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.21325965881348,89.4205791662031,0.14080314755439757,126.78254096984864
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.23281951904297,89.33826495910091,0.1423836100101471,126.70310165405273
System Direction (kWh)_t+60min,14859.094365234376,22645.195879927905,0.3176466101408005,124.28610549926758
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.373719940185545,92.23603651021129,0.08583482801914215,130.74320037841798
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.443601036071776,92.11285611910249,0.08828521311283112,130.76945999145508
System Direction (kWh)_t+75min,15645.38150390625,24211.874493049396,0.22001554131507872,128.4415867614746
