Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.6012589263916,69.23550654625704,0.48483531713485717,112.07289566040039
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.61918201446533,69.1120571597208,0.48668106496334074,112.18842468261718
System Direction (kWh)_t+15min,11367.8177734375,16601.270172086897,0.6330357450246811,108.02607429504394
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.3980424118042,82.42544423700417,0.26993377804756163,119.31467834472656
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.462344360351565,82.32582255160332,0.2717060512304306,119.42746772766114
System Direction (kWh)_t+30min,13039.07751953125,19352.021502857617,0.501571444272995,116.34406593322754
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.28885063171387,87.32234675501496,0.18063664615154265,123.68853439331055
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.29911418914795,87.22480329298497,0.18246886730194092,123.76332214355469
System Direction (kWh)_t+45min,14069.357802734376,21213.175447702786,0.401167249083519,121.38089965820312
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.13415729522705,89.47350883503871,0.13978321790695192,126.79415908813476
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.16669773101807,89.37450475816794,0.14168375432491304,126.86179718017578
System Direction (kWh)_t+60min,14866.052998046875,22672.416913001394,0.3160111039876938,124.66402557373047
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.34027214050293,92.31533885065559,0.08425997376441956,130.9123892211914
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.377453002929684,92.20401994411955,0.08646846175193787,130.9229315185547
System Direction (kWh)_t+75min,15632.739345703125,24203.509437449557,0.22057194292545318,128.39902725219727
