Target,RMSE,MAE,R²
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,69.72765350341797,39.93546676635742,0.47759032249450684
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,69.54965209960938,39.356441497802734,0.48025423288345337
System Direction (kWh)_t+15min,16859.84765625,11530.8544921875,0.6217468976974487
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,82.70056915283203,47.052825927734375,0.2650883197784424
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,82.7928695678711,47.222900390625,0.26344698667526245
System Direction (kWh)_t+30min,19583.36328125,13266.5244140625,0.4897102117538452
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,86.92941284179688,50.268096923828125,0.18801766633987427
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,86.62670135498047,49.036170959472656,0.19366294145584106
System Direction (kWh)_t+45min,21108.87109375,14100.875,0.40714067220687866
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.86266326904297,51.02229309082031,0.15150928497314453
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.62857055664062,51.30990982055664,0.15597385168075562
System Direction (kWh)_t+60min,22772.14453125,15082.087890625,0.31005895137786865
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.5537338256836,53.812904357910156,0.09933894872665405
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.91472625732422,53.20926284790039,0.09222239255905151
System Direction (kWh)_t+75min,24276.5078125,15974.9619140625,0.21591269969940186
