Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,52.96333145141602,97.44601469217086,-0.02030480742454529,146.24478988647462
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,54.798434829711915,96.84530545807462,-0.0077633333206176755,145.10529495239257
System Direction (kWh)_t+15min,16378.9466015625,28104.808452209905,-0.05108723044395447,149.41885696411134
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,52.96086784362793,97.44405688485784,-0.020303834676742554,146.24463958740233
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,54.79081943511963,96.84421648741086,-0.007780219316482544,145.10782470703126
System Direction (kWh)_t+30min,16379.816064453125,28106.086521772184,-0.05110287547111511,149.43080841064454
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,52.95454120635986,97.44805915378949,-0.020375738143920897,146.2500291442871
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,54.7931356048584,96.84429312947343,-0.007769970893859863,145.10690948486328
System Direction (kWh)_t+45min,16378.1993359375,28097.36737625415,-0.0503996729850769,149.09006439208986
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,52.959316444396975,97.44927300418288,-0.02039078712463379,146.24899978637694
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.78302158355713,96.849053847055,-0.007858444452285767,145.11332458496094
System Direction (kWh)_t+60min,16379.52103515625,28102.108959752615,-0.050712546110153196,149.259404296875
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,52.931552772521975,97.46137476074189,-0.02064611077308655,146.2661245727539
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,54.756240653991696,96.85596540898942,-0.008004261255264282,145.12655990600587
System Direction (kWh)_t+75min,16380.115537109376,28099.897995821553,-0.05051878929138184,149.1939338684082
