Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,35.512763671875,67.72404311949475,0.5071732014417648,108.58610504150391
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,35.43647979736328,67.65300569412582,0.5082067739963532,108.35697196960449
System Direction (kWh)_t+15min,11111.270078125,16245.976489806497,0.6487411272525787,107.14937049865722
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,42.0889794921875,81.74286454502514,0.28199859976768493,116.62162261962891
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,41.9683659362793,81.6684349780797,0.28330621123313904,116.44141746520997
System Direction (kWh)_t+30min,13118.0901953125,19263.492691400388,0.5062064653635026,116.14430732727051
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,45.082402267456054,86.81465094211347,0.19014459908008574,121.16274711608887
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,44.933849830627445,86.77824835593323,0.1908230173587799,120.88224540710449
System Direction (kWh)_t+45min,14139.062724609375,21061.303572269753,0.4097827899456024,120.84091934204102
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,46.728620834350586,89.25574080848578,0.14397386610507965,124.40768768310546
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,46.579256210327145,89.22488445357423,0.1445653235912323,124.1731356048584
System Direction (kWh)_t+60min,14828.256669921875,22447.768755399473,0.3295517885684967,123.74875511169434
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,49.10536087036133,92.30368474547593,0.08450939297676087,128.65612358093261
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,48.927599334716795,92.2687299443274,0.08520341336727143,128.34596412658692
System Direction (kWh)_t+75min,15685.0751171875,24058.567263953853,0.2299094420671463,127.55384773254394
