Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.86030921936035,69.41469873518643,0.4821764987707138,112.5470050048828
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.81299800872803,69.31716595085418,0.48362417101860045,112.52459381103516
System Direction (kWh)_t+15min,11565.84791015625,16904.731477364774,0.6194353437423706,110.06253967285156
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.51221256256103,82.43284020840966,0.2698133838176727,119.29203796386719
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.510268440246584,82.37681272329279,0.2708010458946228,119.349619140625
System Direction (kWh)_t+30min,13180.825107421875,19594.887459577913,0.48894729018211364,117.95983047485352
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.47063220977783,87.42683428250369,0.17867400467395783,123.64891464233398
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.3687943649292,87.3418466921877,0.18027183175086975,123.64804428100587
System Direction (kWh)_t+45min,14210.935712890625,21443.25854367881,0.38808897376060486,122.57745269775391
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.3913606262207,89.62749108899787,0.1368090057373047,126.83945198059082
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.35717979431152,89.55358054481249,0.13823170840740204,126.82855575561524
System Direction (kWh)_t+60min,14988.503408203125,22898.867813071603,0.3022594225406647,125.85039627075196
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.563267135620116,92.44034378167675,0.08178308248519897,130.71809814453124
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.512658195495604,92.37520210062354,0.08307439088821411,130.74289978027343
System Direction (kWh)_t+75min,15754.661533203125,24406.4844975319,0.20742174685001374,129.4756273651123
