Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.53156322479248,69.18316534320059,0.485634765625,112.10154403686523
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.56271457672119,69.04878569657886,0.48763505041599275,112.18685806274414
System Direction (kWh)_t+15min,11358.620654296876,16629.18088911548,0.6318003785610199,108.57250755310059
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.42080787658691,82.49398814838261,0.26872663080692294,119.22992225646972
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.48573471069336,82.371337449909,0.2709062623977661,119.37860649108887
System Direction (kWh)_t+30min,13055.12052734375,19400.09152636779,0.4991052758693695,116.91522087097168
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.381573867797854,87.40499728769613,0.17908607602119445,123.60045997619629
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.37121131896973,87.3097101224675,0.1808791607618332,123.66569351196289
System Direction (kWh)_t+45min,14089.20798828125,21280.427162766202,0.39735276460647584,122.04395477294922
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.34768001556397,89.51647639121924,0.13895450711250304,126.78336631774903
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.32178524017334,89.45828374959146,0.14007519960403442,126.8578123474121
System Direction (kWh)_t+60min,14853.202607421876,22730.87784026912,0.31244812786579135,125.3561344909668
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.5637629699707,92.36758956315889,0.08322912096977234,130.9692056274414
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.573795280456544,92.24079248013955,0.08574366390705108,130.916600189209
System Direction (kWh)_t+75min,15609.2883984375,24282.77367470296,0.21542519927024842,129.32092597961426
