Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.70976749420166,69.24825468535121,0.4846674835681915,112.02207054138184
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.60877910614013,69.11499035666866,0.48665752589702604,111.91690773010254
System Direction (kWh)_t+15min,11494.438681640626,16772.41145981881,0.6254333245754242,109.07392868041993
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.4729999923706,82.39655276836213,0.27045803725719453,119.02411415100097
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.42645729064942,82.27851942404776,0.2725434142351151,119.06926681518554
System Direction (kWh)_t+30min,13150.197880859376,19496.097642191642,0.49412489831447604,117.17274375915527
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.34758098602295,87.32868567547828,0.18051607608795167,123.45074234008788
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.24969497680664,87.22197980989681,0.18251608192920685,123.46296096801758
System Direction (kWh)_t+45min,14192.70244140625,21366.13700722433,0.39249780476093293,121.89067070007324
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.19931407928467,89.51586023226122,0.13896741211414337,126.55893379211426
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.031043167114255,89.39222426772596,0.1413442772626877,126.4160050201416
System Direction (kWh)_t+60min,14985.57392578125,22811.072758825096,0.307610889673233,125.11524612426757
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.39447563171387,92.36566881515189,0.08326835870742798,130.56675247192382
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.309784774780276,92.31300169897116,0.0843104749917984,130.41805084228517
System Direction (kWh)_t+75min,15755.06029296875,24330.786297695307,0.21234724104404448,128.63696754455566
