Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.644319953918455,69.13253016388234,0.48639617800712587,112.05457740783692
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.6317964553833,69.03018106984784,0.48792310178279874,112.05320678710937
System Direction (kWh)_t+15min,11319.245400390624,16544.67426745505,0.6355191910266876,107.71441543579101
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.46756893157959,82.3753898764548,0.270822548866272,119.1561142730713
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.45105476379395,82.2485216688786,0.27306968092918393,119.20155754089356
System Direction (kWh)_t+30min,13023.44166015625,19327.003137438453,0.5028713709115982,116.15050903320312
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.34415584564209,87.27263539116491,0.18156058549880982,123.58271446228028
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.35022857666016,87.15571207234467,0.18375954389572144,123.6432015991211
System Direction (kWh)_t+45min,14066.3801171875,21186.940167926732,0.40265984952449796,121.22693313598633
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.2479630279541,89.41833325068006,0.14084742844104767,126.67281562805175
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.21694728851318,89.3315667667291,0.14251312613487244,126.66271675109863
System Direction (kWh)_t+60min,14853.431396484375,22652.69726037678,0.3172015005350113,124.57168830871582
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.44716796875,92.30823251892636,0.08441233515739441,130.78600952148437
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.438384475708006,92.19953118629752,0.08656154751777649,130.67195709228517
System Direction (kWh)_t+75min,15632.0051171875,24208.104159151757,0.2202700036764145,128.3765033721924
