Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.737499198913575,69.21951306686682,0.48508418202400205,112.23024444580078
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.639479370117186,69.10062484737028,0.48685571908950803,112.18777809143066
System Direction (kWh)_t+15min,11500.627109375,16768.85746952006,0.6255854034423828,109.16067146301269
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.44304431915283,82.33790138218936,0.27148563146591187,119.23110534667968
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.372141189575196,82.23145852027747,0.2733678674697876,119.3201432800293
System Direction (kWh)_t+30min,13182.09763671875,19503.9421105967,0.49372030377388,117.23983200073242
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.32660045623779,87.2658348070656,0.18169317543506622,123.67459312438965
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.21726528167724,87.19607222458566,0.18300217509269714,123.61415924072266
System Direction (kWh)_t+45min,14225.169052734374,21358.039436352672,0.39296328365802763,121.91674453735351
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.19104888916016,89.4721247594622,0.13980364978313445,126.69921630859375
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.06401096343994,89.3920136871334,0.14134153544902803,126.62501121520997
System Direction (kWh)_t+60min,15021.62798828125,22841.881592827554,0.30573855876922607,125.24017265319824
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.40873588562012,92.333815471314,0.08389082491397858,130.65999801635743
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.29650188446045,92.2849978473185,0.08486240446567535,130.57033157348633
System Direction (kWh)_t+75min,15774.059375,24332.06699363502,0.21225612759590148,128.653602142334
