Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.609324569702146,69.23694488862715,0.484820591211319,112.16246231079101
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,37.65677730560303,69.14840626003873,0.4861436927318573,112.22117439270019
System Direction (kWh)_t+15min,11368.91970703125,16599.53736898225,0.633050964474678,108.00314331054688
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.39116626739502,82.43124792171133,0.26983565926551817,119.22054679870605
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,43.51331512451172,82.34747648553127,0.27132016479969023,119.38575668334961
System Direction (kWh)_t+30min,13059.30833984375,19374.629968628924,0.5003954374790192,116.40300689697266
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.30825771331787,87.33021162963055,0.18048704266548157,123.69814598083497
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,46.30950672149658,87.22928390127197,0.1823793023824692,123.71710403442383
System Direction (kWh)_t+45min,14101.97580078125,21218.870076881492,0.40084079146385193,121.19991775512695
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.207037162780765,89.49158734838824,0.13943478524684905,126.88246925354004
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,48.192166557312014,89.41036201434665,0.1409970223903656,126.81806129455566
System Direction (kWh)_t+60min,14885.065048828124,22693.34440684201,0.314734542965889,124.75282684326172
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.41889503479004,92.36617246937854,0.08324631512165069,130.8412956237793
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,50.39747371673584,92.22956132703497,0.08596807599067688,130.87219604492188
System Direction (kWh)_t+75min,15640.44951171875,24202.247329916157,0.2206485962867737,128.43663764953612
