Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.62630199432373,72.37958303542459,0.4369228559732437,116.98150451660156
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.59575271606445,72.26495118962539,0.43873075366020203,116.98950187683106
System Direction (kWh)_t+15min,11883.630205078125,17257.383519432504,0.6033116412162781,111.48446273803711
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.8983366394043,84.054429232792,0.2407288670539856,122.92075622558593
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.77522350311279,83.89273626047714,0.2436527669429779,122.87192344665527
System Direction (kWh)_t+30min,13429.87349609375,19826.434362503795,0.4767658019065857,118.52766227722168
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,52.35152328491211,88.71561651065088,0.15417966723442078,126.40281288146973
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,52.20015914916992,88.61686414850283,0.15604884147644044,126.27133644104003
System Direction (kWh)_t+45min,14447.712763671874,21646.31944454839,0.3764385437965393,122.94046409606933
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.93871070861817,91.24748383319067,0.10520686507225037,129.01247886657714
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.84268119812012,91.10122459420194,0.10807675182819367,128.9581861114502
System Direction (kWh)_t+60min,15234.872392578125,23120.073866054987,0.28867526769638063,126.11539978027344
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,57.58945640563965,93.8620686751594,0.05317696690559387,132.43640197753905
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,57.41614761352539,93.69395326614033,0.05656781852245331,132.37837905883788
System Direction (kWh)_t+75min,15950.162451171875,24556.092378473993,0.1976712691783905,129.5761513519287
