Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.317448387145994,71.94314832032522,0.4437043344974518,116.55732467651367
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.25555503845215,71.81324896787727,0.445742005109787,116.4784910583496
System Direction (kWh)_t+15min,11776.149326171875,17075.893528054814,0.6116605091094971,110.38951187133789
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.535571594238284,83.7528322921968,0.2461759203672409,122.55514564514161
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.48216590881348,83.63440286088476,0.2483009034395218,122.55096557617188
System Direction (kWh)_t+30min,13378.15720703125,19691.836352470567,0.4838772392272949,117.7375552368164
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,51.957812461853024,88.49784752016878,0.15832869112491607,126.1075424194336
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,51.93156669616699,88.39730560482072,0.16025384187698363,126.09848541259765
System Direction (kWh)_t+45min,14423.463759765626,21529.691469773617,0.3831322515010834,122.15256507873535
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.348050384521486,90.89195125366541,0.11219000279903411,128.70521110534668
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.219565353393556,90.71944459757842,0.11553918778896331,128.6552060699463
System Direction (kWh)_t+60min,15182.683515625,22959.975607735,0.2985298627614975,125.27406242370606
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,56.83324409484863,93.45559848506113,0.061394972801208494,132.00087692260743
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,56.86301769256592,93.38232874565388,0.06285915076732636,132.01908782958984
System Direction (kWh)_t+75min,15986.829990234375,24491.04443173904,0.2019338232278824,128.70966789245605
