Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.66125518798828,72.35929623847595,0.43724729657173156,117.10460639953614
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,42.580008049011234,72.2268935268745,0.4393088656663895,116.98541297912598
System Direction (kWh)_t+15min,11850.333212890626,17169.99663544503,0.6073336887359619,110.89058769226074
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.706948852539064,83.90396045463378,0.2434464204311371,122.87711723327637
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,48.63309848785401,83.75374583093331,0.24615570306777954,122.83026283264161
System Direction (kWh)_t+30min,13406.407705078125,19748.007385753743,0.4809100043773651,118.1485605621338
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,52.255008392333984,88.68785439345727,0.1546951961517334,126.35040573120118
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,52.08662338256836,88.50758463858148,0.1581442165374756,126.22796333312988
System Direction (kWh)_t+45min,14435.186611328125,21559.268665243533,0.381431987285614,122.46933174133301
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.59854263305664,91.05929636262599,0.10890145897865296,128.9904108428955
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,54.530312881469726,90.96468119122659,0.11073545277118683,128.89772476196288
System Direction (kWh)_t+60min,15245.374892578126,23055.36430840826,0.29268679440021517,125.75985221862793
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,57.328015937805176,93.71782700128904,0.056092543601989744,132.43556259155272
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,57.12428367614746,93.49269861114692,0.06063564419746399,132.34035583496095
System Direction (kWh)_t+75min,15989.357685546875,24519.571173459994,0.2000589692592621,129.18922401428222
