Target,RMSE,MAE,R²
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,69.73603057861328,39.2128791809082,0.47746485471725464
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,69.7039794921875,38.55906295776367,0.47794508934020996
System Direction (kWh)_t+15min,16975.3203125,11712.201171875,0.6165479421615601
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,83.03652954101562,46.728458404541016,0.25910520553588867
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,82.7726058959961,46.861080169677734,0.26380741596221924
System Direction (kWh)_t+30min,19605.41015625,13326.052734375,0.48856061697006226
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,87.13235473632812,48.733333587646484,0.18422192335128784
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,86.43409729003906,49.246829986572266,0.1972445249557495
System Direction (kWh)_t+45min,21160.111328125,14059.072265625,0.4042590260505676
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.45706939697266,49.66948699951172,0.15923714637756348
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.99486541748047,49.378517150878906,0.14898282289505005
System Direction (kWh)_t+60min,22462.458984375,14736.20703125,0.3286967873573303
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.43124389648438,53.132869720458984,0.10174727439880371
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.73690032958984,53.29749298095703,0.09573149681091309
System Direction (kWh)_t+75min,24114.08203125,15782.1103515625,0.22636961936950684
