Target,RMSE,MAE,R²
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,70.09114837646484,39.835418701171875,0.4721294045448303
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,69.89868927001953,39.75315475463867,0.47502434253692627
System Direction (kWh)_t+15min,16768.849609375,11550.8828125,0.6258189678192139
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,82.29691314697266,46.199527740478516,0.2722448706626892
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,82.45179748535156,45.58328628540039,0.269503116607666
System Direction (kWh)_t+30min,19502.10546875,13145.5166015625,0.4939361810684204
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,87.38175201416016,48.964908599853516,0.17954522371292114
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,86.92595672607422,48.766510009765625,0.18808221817016602
System Direction (kWh)_t+45min,20951.583984375,13878.3359375,0.41594284772872925
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.80027770996094,50.31135940551758,0.1527003049850464
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,88.70960235595703,50.88506317138672,0.15442979335784912
System Direction (kWh)_t+60min,22588.33984375,14870.828125,0.3211516737937927
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.52202606201172,53.725250244140625,0.09996265172958374
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,91.64875793457031,53.39320373535156,0.09746843576431274
System Direction (kWh)_t+75min,24042.455078125,15580.322265625,0.2309587597846985
