Target,RMSE,MAE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,73.80969807166937,44.12981919421779,0.41463333702252836,127.01888529596815
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,73.98774612061035,44.40056046649173,0.4118058197219461,127.65803301129873
System Direction (kWh)_t+15min,15768.904322627332,10122.64377787889,0.6691141361381929,96.91782115038838
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,85.70547956763777,54.56293200796562,0.21071232613159485,132.59020759531688
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,85.5576554306286,54.383193443310205,0.21343269241634477,132.65591422228385
System Direction (kWh)_t+30min,19172.99235298261,12352.005280955029,0.5108724678279137,110.33230919443669
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,90.32116770998724,59.149432811068074,0.12341867482577795,134.6842584121414
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,90.1629630256741,58.91677717451949,0.12648678878994968,134.75216247917
System Direction (kWh)_t+45min,21003.50162442347,13332.19706871105,0.41304468318655074,117.24271962448674
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,94.00742113505137,63.24311061166589,0.05041751328354638,136.02192812933052
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,94.43951957435809,63.80625480513839,0.04166807429067976,136.399312767852
System Direction (kWh)_t+60min,22153.50250222368,13922.383593627595,0.34703642193383777,121.22927160175814
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,98.35835241271546,68.24889725966639,-0.03951733622875975,137.22581674954026
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,99.00369487292507,69.05697865598462,-0.053202913712107724,137.34764343505032
System Direction (kWh)_t+75min,23963.390110105498,14962.099980378773,0.2360084876126176,125.5804164566459
