feature,mean_abs_shap
System Direction (kWh),2747.697
System Direction (kWh)_t-15min,657.979
System Direction (kWh)_t-30min,583.84625
System Direction (kWh)_t-60min,385.06366
System Direction (kWh)_t-45min,363.07224
Negative GCC Energy (kWh),357.81512
System Direction (kWh)_t-300min,119.0559
HU-UA Schedule_t+435min,118.66733
Requested Negative aFRR Balancing Energy (kWh),110.377266
System Direction (kWh)_t-285min,97.674095
System Direction (kWh)_t-420min,87.71278
System Direction (kWh)_t-585min,85.56035
Negative GCC Energy (kWh)_t-15min,82.96635
System Direction (kWh)_t-195min,81.63946
Activated Negative aFRR Balancing Energy (kWh),76.15341
System Direction (kWh)_t-240min,75.67734
Positive GCC Energy (kWh),69.72139
System Direction (kWh)_t-270min,69.06639
System Direction (kWh)_t-180min,66.09271
System Direction (kWh)_t-225min,65.760765
Solar Power Plants Net (Operational Control),60.667244
System Direction (kWh)_t-255min,59.449535
Negative GCC Energy (kWh)_t-60min,58.98504
Estimated Solar Power Production (Day-Ahead),56.211887
HU-AT Schedule_t+525min,53.27224
System Direction (kWh)_t-360min,52.937134
HU-UA Schedule_t+450min,49.90286
Requested Negative aFRR Balancing Energy (kWh)_t-45min,49.093895
Requested Positive aFRR Balancing Energy (kWh),48.348087
System Direction (kWh)_t-165min,48.199764
Positive GCC Energy (kWh)_t-30min,47.970257
System Direction (kWh)_t-345min,47.844616
HU-UA Schedule_t+150min,47.787033
Requested Positive aFRR Balancing Energy (kWh)_t-45min,47.582108
System Direction (kWh)_t-600min,47.52791
System Direction (kWh)_t-315min,46.266792
Estimated Solar Power Production (Day-Ahead)_t+75min,45.96807
HU-UA Schedule_t+120min,45.933804
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,44.84954
Positive GCC Energy (kWh)_t-15min,44.497475
System Direction (kWh)_t-555min,43.687466
HU-AT Schedule_t+180min,43.679825
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,43.63967
Estimated Solar Power Production (Current),43.10652
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh),42.627804
Negative GCC Energy (kWh)_t-30min,42.010952
HU-AT Schedule_t+540min,40.656662
System Direction (kWh)_t-210min,40.157616
Gross Planned Power Plant Generation_t+210min,39.255714
System Direction (kWh)_t-75min,39.10381
Estimated Solar Power Production (Current)_t+90min,37.87582
System Direction (kWh)_t-150min,37.027668
HU-AT Schedule_t+165min,36.59867
HU-UA Schedule_t+105min,36.38284
HU-SK_t-240min,36.110836
Wind Power Actual - Net Commercial Settlement_t-30min,35.73932
Requested Negative aFRR Balancing Energy (kWh)_t-60min,35.593044
System Direction (kWh)_t-405min,35.52486
Negative GCC Energy (kWh)_t-45min,35.25739
Activated Negative aFRR Balancing Energy (kWh)_t-45min,35.2165
Activated Negative aFRR Balancing Energy (kWh)_t-15min,34.652866
System Direction (kWh)_t-540min,34.651558
HU-UA Schedule_t+30min,34.51426
System Direction (kWh)_t-435min,33.182724
Estimated Solar Power Production (Day-Ahead)_t+210min,33.164814
System Direction (kWh)_t-570min,32.665707
Estimated Solar Power Production (Current)_t+195min,32.431854
Requested Positive aFRR Balancing Energy (kWh)_t-30min,31.471046
Estimated Solar Power Production (Current)_t+75min,31.420467
HU-UA Schedule_t+75min,29.77068
System Direction (kWh)_t-390min,29.668638
HU-SK,27.679312
Gross Planned Power Plant Generation_t+180min,27.40204
Estimated Solar Power Production (Current)_t+60min,27.168476
HU-AT Schedule_t+150min,27.156752
Estimated Solar Power Production (Day-Ahead)_t+15min,26.979774
Estimated Solar Power Production (Current)_t+210min,26.31081
Solar Power Plants Net (Operational Control)_t-135min,26.21878
Solar Power Plants Net (Operational Control)_t-120min,26.214659
