feature,mean_abs_shap
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh),10748.908497340093
Negative GCC Energy (kWh),10666.829130051634
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh),10074.893686994119
Positive GCC Energy (kWh),6349.625956421656
Requested Negative aFRR Balancing Energy (kWh),5935.611020310379
Activated Negative aFRR Balancing Energy (kWh),5881.706824938469
Activated Positive aFRR Balancing Energy Cost (HUF),4748.656052560895
Requested Positive aFRR Balancing Energy (kWh),4337.201961874761
Negative GCC Energy (kWh)_t-60min,4197.063091011232
day_of_year,4117.1707746625725
Activated Positive aFRR Balancing Energy (kWh),3844.7461047647676
Solar Power Plants Net (Operational Control)_t-45min,3488.3895090210626
Solar Power Plants Net (Operational Control)_t-60min,3251.007691929815
Solar Power Plants Net (Operational Control)_t-105min,3088.773945636151
Gross Certified System Load (Actual),3039.095458928904
Gross System Load Forecast (Day-Ahead)_t+60min,3021.8921989673895
Solar Power Plants Net (Operational Control)_t-90min,3011.6047714006104
Requested Negative aFRR Balancing Energy (kWh)_t-60min,2973.301584653409
Activated Negative aFRR Balancing Energy (kWh)_t-60min,2755.234717971416
Solar Power Plants Net (Operational Control)_t-75min,2721.5563738658307
Negative GCC Energy (kWh)_t-15min,2632.207541816215
Negative GCC Energy (kWh)_t-30min,2543.364358613427
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,2531.892340279275
Gross System Load Forecast (Day-Ahead)_t+75min,2516.973635503824
Solar Power Plants Net (Operational Control)_t-30min,2494.076004499372
Negative GCC Energy (kWh)_t-45min,2466.266675997841
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,2385.731942537829
Solar Power Plants Net (Operational Control)_t-120min,2382.8699020831
HU-AT Schedule_t+165min,2373.9104299248984
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,2150.7787781218203
Gross System Load Forecast (Day-Ahead)_t+45min,2141.2201365875203
HU-AT Schedule_t+15min,2091.024040289469
Solar Power Plants Net (Operational Control)_t-150min,2089.820261099701
HU-AT Schedule_t+90min,2085.9370587221983
Requested Positive aFRR Balancing Energy (kWh)_t-60min,2065.9599130249608
Requested Negative aFRR Balancing Energy (kWh)_t-15min,2026.8237603578013
Negative GCC Energy (kWh)_t-75min,2020.1014767223603
Positive GCC Energy (kWh)_t-60min,2002.76677641371
HU-HR Schedule_t+90min,1997.5585524749954
Estimated Solar Power Production (Intraday)_t+135min,1991.0668530879404
HU-AT Schedule_t+240min,1979.4178917003724
HU-HR Schedule_t+30min,1974.2369497735833
HU-RO Schedule_t+195min,1962.514266683001
Gross Actual Power Plant Generation_t-15min,1962.4546591167248
HU-RO Schedule_t+15min,1941.1377291274528
Gross System Load Forecast (Day-Ahead)_t+90min,1935.611943200345
Estimated Solar Power Production (Current)_t+195min,1931.239714436302
Activated Positive aFRR Balancing Energy (kWh)_t-60min,1923.368264536165
dayofweek_cos,1893.0207082200855
Estimated Solar Power Production (Current)_t+105min,1879.8277664151262
Solar Power Plants Net (Operational Control)_t-135min,1842.8990087504922
Estimated Solar Power Production (Current)_t+165min,1830.4171770829155
HU-HR Schedule_t+15min,1797.3213006012104
Estimated Solar Power Production (Intraday)_t+105min,1790.6468251666076
Estimated Solar Power Production (Current)_t+150min,1769.838812176005
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,1768.9089357929295
HU-AT Schedule_t+45min,1746.5278487722412
HU-RO Schedule_t+315min,1746.4383596110745
HU-HR,1742.2585925032881
HU-AT Schedule_t+210min,1730.0906606375827
HU-AT Schedule_t+225min,1721.8077423022664
Estimated Wind Power Production (Intraday)_t+150min,1694.232724550654
Gross Actual Power Plant Generation_t-30min,1690.8468068948514
System Direction (kWh),1671.1811961366147
HU-RO Schedule_t+180min,1663.0074965647543
Estimated Solar Power Production (Current)_t+75min,1659.7285006066168
Activated Negative aFRR Balancing Energy (kWh)_t-15min,1654.1293536353726
Gross Actual Power Plant Generation,1653.265044777441
Negative GCC Energy (kWh)_t-105min,1652.5827284637048
Activated Negative aFRR Balancing Energy (kWh)_t-45min,1649.5195118813804
Gross System Load Forecast (Day-Ahead)_t+30min,1641.0701629813416
Activated Negative aFRR Balancing Energy (kWh)_t-30min,1603.6485091540783
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,1595.569669558703
Estimated Solar Power Production (Current)_t+120min,1578.4603925377128
Estimated Solar Power Production (Current)_t+135min,1572.4949245156984
HU-RO Schedule_t+210min,1567.369426424469
Estimated Solar Power Production (Current)_t+90min,1566.2836529892343
