feature,mean_abs_shap
Negative GCC Energy (kWh),2460.1294882417073
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh),2417.2072036461805
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh),2249.808408262138
Positive GCC Energy (kWh),1496.1904468052783
Requested Negative aFRR Balancing Energy (kWh),1274.164766500733
Activated Negative aFRR Balancing Energy (kWh),1180.9011137233415
Activated Positive aFRR Balancing Energy Cost (HUF),964.1000726471332
Negative GCC Energy (kWh)_t-60min,927.1956146925943
day_of_year,857.1310637634773
Requested Positive aFRR Balancing Energy (kWh),766.0281460345107
Solar Power Plants Net (Operational Control)_t-90min,725.1067611214746
Activated Positive aFRR Balancing Energy (kWh),689.7784736504906
Gross Certified System Load (Actual),671.3347748585272
Solar Power Plants Net (Operational Control)_t-75min,653.8228622181999
Gross System Load Forecast (Day-Ahead)_t+60min,647.6641279991686
Gross System Load Forecast (Day-Ahead)_t+75min,639.47057620597
Requested Negative aFRR Balancing Energy (kWh)_t-60min,638.4163633519382
Solar Power Plants Net (Operational Control)_t-120min,635.9832107367972
Negative GCC Energy (kWh)_t-15min,617.5603317674355
Solar Power Plants Net (Operational Control)_t-105min,611.6189048767708
Solar Power Plants Net (Operational Control)_t-60min,597.0815440599647
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,587.0171916981044
Activated Negative aFRR Balancing Energy (kWh)_t-60min,563.9570606387435
HU-AT Schedule_t+15min,550.2575923070129
Positive GCC Energy (kWh)_t-60min,531.9860706810766
Solar Power Plants Net (Operational Control)_t-135min,520.078034645713
Solar Power Plants Net (Operational Control)_t-45min,515.0665224531083
HU-RO Schedule_t+195min,513.5975028506685
Gross System Load Forecast (Day-Ahead)_t+45min,508.17977090754266
Solar Power Plants Net (Operational Control)_t-30min,504.319890205469
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,485.78437146436227
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,485.30305126218155
HU-AT Schedule_t+210min,468.97600012005506
Negative GCC Energy (kWh)_t-75min,454.5066410564148
Negative GCC Energy (kWh)_t-45min,447.5342612429937
Negative GCC Energy (kWh)_t-30min,431.3099841331533
Estimated Solar Power Production (Current)_t+120min,430.9351909381861
HU-RO Schedule_t+15min,430.3005031702202
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,393.98532818532567
Gross Actual Power Plant Generation_t-30min,393.49729496071325
Gross Actual Power Plant Generation_t-240min,392.29697929368825
Estimated Solar Power Production (Current)_t+135min,388.75848094490334
Estimated Solar Power Production (Intraday)_t+90min,385.65857550627436
Solar Power Plants Net (Operational Control)_t-15min,381.5267858665841
HU-RO Schedule_t+180min,378.45909545119946
HU-RO Schedule_t+240min,377.4613050949979
Gross System Load Forecast (Day-Ahead)_t+90min,371.99120812013433
Estimated Solar Power Production (Current)_t+105min,370.03117370539957
hour,359.10162332234466
Estimated Solar Power Production (Current)_t+195min,358.27088309096166
Requested Negative aFRR Balancing Energy (kWh)_t-15min,358.21744853242996
Requested Negative aFRR Balancing Energy (kWh)_t-45min,356.89346149674145
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,356.4448414805626
Activated Positive aFRR Balancing Energy (kWh)_t-60min,355.7453856058893
HU-AT Schedule_t+165min,352.51458158270697
Estimated Solar Power Production (Day-Ahead)_t+315min,350.9147829014182
HU-HR Schedule_t+30min,349.6152010260359
HU-AT Schedule_t+180min,349.29687264684014
Gross Planned Power Plant Generation_t+90min,348.65417458849004
Wind Power Actual - Net Commercial Settlement_t-30min,340.68176579977086
Estimated Solar Power Production (Day-Ahead)_t+285min,333.9196377792631
Solar Power Plants Net (Operational Control)_t-180min,330.84289596917387
HU-RO Schedule_t+225min,330.0343096840308
HU-SK Schedule,327.9319832301053
Estimated Wind Power Production (Current)_t+135min,325.0838232394736
Requested Positive aFRR Balancing Energy (kWh)_t-60min,324.9360101238738
Estimated Solar Power Production (Current)_t+165min,319.7264853498456
HU-SK Schedule_t+285min,318.04220788749797
Activated Negative aFRR Balancing Energy (kWh)_t-45min,315.679204431185
HU-AT Schedule_t+90min,313.9541545299538
ssrd_std,313.80863564779
HU-SK,313.347684728032
Solar Power Plants Net (Operational Control)_t-165min,312.47919399668245
HU-AT Schedule_t+45min,310.9540192479806
HU-HR Schedule_t+15min,310.47129576984275
Negative GCC Energy (kWh)_t-105min,309.74441149582367
Activated Negative aFRR Balancing Energy (kWh)_t-15min,307.71210246665805
HU-AT Schedule_t+195min,307.2383291526895
Estimated Solar Power Production (Intraday)_t+120min,305.9193435448684
HU-HR,305.74066457880997
HU-HR Schedule_t+90min,304.50255865825085
Estimated Solar Power Production (Current)_t+75min,303.5588655914749
Gross Actual Power Plant Generation_t-15min,301.5721123390055
HU-RO Schedule_t+210min,300.37426497635136
Estimated Solar Power Production (Current)_t+90min,300.14558860824536
Gross System Load Forecast (Day-Ahead)_t+30min,299.44161938538355
Estimated Solar Power Production (Intraday)_t+150min,299.19019746765673
HU-AT Schedule_t+60min,297.66389704645854
HU-AT Schedule_t+225min,297.5416545848996
Estimated Solar Power Production (Intraday)_t+180min,297.1369075395909
Solar Power Plants Net (Operational Control)_t-150min,296.98403293635147
Estimated Wind Power Production (Current)_t+120min,294.0456414740212
Estimated Solar Power Production (Intraday)_t+195min,294.02000655174623
Estimated Wind Power Production (Intraday)_t+150min,293.61785928343534
Gross Planned Power Plant Generation_t+75min,293.49412717555487
Gross Planned Power Plant Generation_t+60min,292.6641874287972
HU-AT Schedule_t+150min,292.1871502841157
Estimated Solar Power Production (Current)_t+150min,290.86748858607416
Requested Negative aFRR Balancing Energy (kWh)_t-30min,289.257817125628
dayofweek_cos,287.0035148776726
HU-RO Schedule_t+30min,286.9778492314758
HU-AT Schedule_t+30min,286.283308862815
HU-AT Schedule,286.24123790970066
Activated Positive aFRR Balancing Energy Cost (HUF)_t-15min,286.17357563569453
Estimated Wind Power Production (Current)_t+105min,285.8938071328091
Estimated Solar Power Production (Intraday)_t+105min,284.1340380076916
Estimated Solar Power Production (Current)_t+180min,282.8103699310869
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,281.3065497643976
HU-RO Schedule_t+315min,278.8827586484813
Estimated Wind Power Production (Intraday)_t+165min,278.0082130848943
HU-SK_t-15min,275.8900075114093
HU-RO Schedule_t+165min,275.5750641117978
Estimated Wind Power Production (Current)_t+165min,274.59888632175546
HU-AT Schedule_t+240min,273.798216218386
Estimated Solar Power Production (Current)_t+60min,273.6627302237685
Estimated Wind Power Production (Intraday)_t+135min,272.5140881011765
Gross Planned Power Plant Generation_t+30min,272.49405309069436
Gross Actual Power Plant Generation_t-255min,272.2973860464807
Estimated Solar Power Production (Day-Ahead)_t+270min,271.5428030214971
HU-RO Schedule_t+300min,270.80857519700373
System Direction (kWh),270.5264279600373
HU-UA Schedule_t+480min,270.1021565166819
HU-SK Schedule_t+240min,270.0064571454407
HU-AT Schedule_t+270min,268.47858066351773
Estimated Solar Power Production (Intraday)_t+165min,266.90524256740474
Gross Actual Power Plant Generation_t-60min,266.03509252049474
HU-AT_t-30min,265.7354290175549
Positive GCC Energy (kWh)_t-15min,265.5136046654733
Estimated Wind Power Production (Current)_t+150min,265.4535857572184
HU-AT Schedule_t+75min,264.2354652769678
HU-HR Schedule_t+45min,263.08408600998206
Gross Actual Power Plant Generation_t-330min,262.47126757225
Wind Power Actual - Net Operational Control_t-30min,259.3493165698633
Solar Power Plants Net (Operational Control)_t-195min,259.0104653307866
HU-SK Schedule_t+90min,258.40045097414213
Solar Power Plants Net (Operational Control)_t-285min,257.21451017383913
ssrd_mean_t+60min,256.94325226517736
HU-RO Schedule_t+255min,254.9285383640434
dayofweek_sin,254.6793634520431
100m_wind_speed_mean_t+15min,254.6611305131997
Gross Actual Power Plant Generation_t-270min,254.1861883086264
HU-RO Schedule_t+450min,253.55077670111496
Gross Certified System Load (Actual)_t-15min,253.4933863060512
Solar Power Plants Net (Operational Control)_t-315min,251.09153801795287
Activated Negative aFRR Balancing Energy (kWh)_t-30min,250.1153756585838
Wind Power Actual - Net Commercial Settlement_t-15min,250.07540678217123
Positive GCC Energy (kWh)_t-45min,249.05703451869567
Gross Planned Power Plant Generation_t+720min,247.69893766741924
HU-RO Schedule_t+495min,247.1956070232647
Activated Negative aFRR Balancing Energy Cost (HUF),246.63755357156575
Gross Actual Power Plant Generation,246.118025274879
Gross Planned Power Plant Generation_t+120min,245.70576697789596
HU-SK Schedule_t+60min,245.10672197530226
Gross Actual Power Plant Generation_t-315min,242.59562968925508
ssrd_mean_t+15min,242.56685293291588
HU-UA_t-30min,240.73663285613884
System Direction (kWh)_t-45min,240.29853700739415
ssrd_mean,239.97879969777492
Gross Actual Power Plant Generation_t-285min,239.89902232226473
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,239.26860688671118
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-60min,239.23170918654023
HU-HR Schedule_t+195min,238.9745035713616
Gross System Load Forecast (Day-Ahead)_t+240min,237.59398624135906
HU-SK Schedule_t+255min,236.74806744393163
Estimated Solar Power Production (Intraday)_t+135min,235.85817803603786
HU-AT Schedule_t+405min,235.45506719625524
Gross Actual Power Plant Generation_t-75min,235.34113531456623
Gross Certified System Load (Actual)_t-345min,235.0586638105765
HU-RO Schedule_t+45min,230.92689584093037
Estimated Solar Power Production (Intraday)_t+75min,229.1685475940197
Gross Actual Power Plant Generation_t-210min,228.76407606091843
Gross System Load Forecast (Day-Ahead)_t+105min,228.06694027145878
Gross System Load Forecast (Day-Ahead)_t+150min,227.34281899488323
HU-RO Schedule,226.91971105302386
HU-SK Schedule_t+15min,226.85036356554178
Gross Planned Power Plant Generation_t+375min,225.60386919003227
100m_wind_speed_mean,225.49961531020313
HU-HR Schedule_t+375min,225.3834309281411
HU-RO_t-540min,225.37657038127986
Gross System Load Forecast (Day-Ahead)_t+225min,224.46942381144308
Estimated Solar Power Production (Day-Ahead)_t+330min,224.05573227053924
Gross Actual Power Plant Generation_t-195min,223.41624651304338
HU-RO Schedule_t+60min,222.31663333568972
HU-AT Schedule_t+285min,221.30112465249195
ssrd_std_t+75min,221.12911725230805
HU-UA_t-540min,221.03803777873023
HU-HR Schedule_t+75min,219.0083203019351
Estimated Wind Power Production (Intraday)_t+120min,216.72960121323763
Gross Certified System Load (Actual)_t-585min,216.33164072282207
HU-AT Schedule_t+660min,216.31587163073556
Gross System Load Forecast (Day-Ahead)_t+465min,215.89496679306453
HU-SK Schedule_t+225min,215.88273289203562
HU-RO Schedule_t+435min,215.09710383064393
Negative GCC Energy (kWh)_t-135min,214.89649211879
HU-SK Schedule_t+75min,214.8093842938632
Estimated Solar Power Production (Day-Ahead)_t+135min,214.75855054101552
Estimated Wind Power Production (Intraday)_t+105min,214.11570307564503
Estimated Solar Power Production (Intraday)_t+240min,213.89939704641301
Gross System Load Forecast (Day-Ahead)_t+210min,213.46213988414578
HU-UA Schedule_t+495min,211.3353915801476
HU-UA_t-180min,210.96533838559003
Estimated Wind Power Production (Current)_t+180min,210.94453472068517
HU-AT_t-15min,210.7275582122847
Estimated Solar Power Production (Day-Ahead)_t+345min,210.34092691772472
Estimated Solar Power Production (Day-Ahead)_t+375min,209.52472253616526
Estimated Solar Power Production (Current)_t+225min,209.26714872684389
Gross Certified System Load (Actual)_t-600min,208.4938174349113
Solar Power Plants Net (Operational Control),207.77932742665462
Estimated Wind Power Production (Day-Ahead)_t+180min,207.29690049235646
Positive GCC Energy (kWh)_t-30min,206.47169803120013
Wind Power Actual - Net Operational Control_t-15min,206.41451050486904
HU-UA_t-15min,206.4082337674307
HU-SK Schedule_t+270min,205.46482594401868
Gross Planned Power Plant Generation_t+525min,204.52293407965323
Estimated Solar Power Production (Intraday)_t+210min,204.44395993669661
HU-UA Schedule_t+615min,203.87998838336293
HU-UA_t-555min,203.87883984869626
Estimated Solar Power Production (Current)_t+210min,203.12635681910513
HU-HR Schedule_t+210min,202.82470918284213
Activated Positive aFRR Balancing Energy (kWh)_t-300min,202.17765390759286
HU-UA Schedule_t+450min,202.08526436677857
HU-RO Schedule_t+690min,201.8452063243131
HU-AT Schedule_t+255min,199.71778420365578
10m_wind_speed_mean,199.63226021786505
HU-HR Schedule_t+180min,199.1457009873913
HU-HR Schedule_t+60min,198.15382360753316
HU-RO Schedule_t+360min,197.99509370677998
HU-HR Schedule_t+330min,195.4789631616274
HU-AT Schedule_t+435min,194.58802883226136
HU-SK Schedule_t+195min,194.56197374798685
HU-RO Schedule_t+420min,194.39858709382992
HU-SK Schedule_t+45min,193.5097530647029
HU-RO Schedule_t+615min,193.43457143318915
HU-AT_t-495min,193.38542282902068
HU-UA Schedule_t+645min,192.60099488681234
HU-RO Schedule_t+525min,192.31328590681454
HU-AT_t-45min,191.89459958431723
ssrd_mean_t+45min,191.7589206575986
HU-UA_t-405min,191.41389498180436
10m_wind_speed_mean_t+75min,191.31018858866938
Gross Planned Power Plant Generation_t+150min,191.0983061895216
HU-UA Schedule_t+30min,191.02275486016077
Estimated Wind Power Production (Day-Ahead)_t+165min,190.44107267306828
HU-HR Schedule_t+105min,190.35352958089652
HU-AT Schedule_t+630min,190.23706669633077
Requested Positive aFRR Balancing Energy (kWh)_t-15min,189.7012613264398
