feature,mean_abs_shap
System Direction (kWh),3556.0985321707803
System Direction (kWh)_t-15min,1786.9130521917414
System Direction (kWh)_t-30min,1453.896460025217
Negative GCC Energy (kWh),1434.1362302100326
Requested Negative aFRR Balancing Energy (kWh),1343.3730104186038
Activated Negative aFRR Balancing Energy (kWh),1298.7616581812326
System Direction (kWh)_t-45min,1083.5770491950252
Negative GCC Energy (kWh)_t-15min,684.0007461220536
day_of_year,591.2910862831272
HU-RO Schedule,508.72859703716557
Activated Positive aFRR Balancing Energy Cost (HUF),476.9014145150319
Positive GCC Energy (kWh),452.2016815563097
hour,450.88439486805225
Requested Negative aFRR Balancing Energy (kWh)_t-60min,438.156278269241
Estimated Solar Power Production (Intraday)_t+90min,423.95860886841155
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh),410.92734627759444
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh),397.63670863524777
Negative GCC Energy (kWh)_t-60min,390.8973399823164
HU-AT Schedule_t+30min,381.79564749283253
HU-AT Schedule_t+60min,377.5758275843718
Requested Positive aFRR Balancing Energy (kWh),366.70754276381933
HU-AT Schedule_t+165min,364.6933093982085
HU-UA_t-465min,360.66979598921614
HU-RO Schedule_t+15min,346.38210674182153
HU-AT Schedule_t+90min,345.5546779598837
HU-RO Schedule_t+615min,344.71857220158563
Activated Negative aFRR Balancing Energy (kWh)_t-60min,342.6330323794154
Negative GCC Energy (kWh)_t-75min,335.3810569598994
HU-AT Schedule_t+45min,334.0048688391157
Estimated Solar Power Production (Intraday)_t+45min,332.0682475297851
HU-UA Schedule_t+120min,329.9925626082698
HU-SK Schedule_t+75min,329.8345268079844
ssrd_mean_t+75min,326.5763055731467
Activated Positive aFRR Balancing Energy (kWh),324.3670840657258
HU-UA Schedule_t+75min,322.37413374466075
Solar Power Plants Net (Operational Control)_t-15min,318.466606654558
HU-SK Schedule_t+60min,316.2415065609533
Estimated Solar Power Production (Current)_t+75min,314.0157561625372
Solar Power Plants Net (Operational Control)_t-45min,305.8380428321128
HU-UA_t-405min,305.1253802945303
HU-AT Schedule_t+150min,304.3681393885224
Solar Power Plants Net (Operational Control)_t-585min,301.27775254142887
Gross Actual Power Plant Generation_t-15min,294.2162691893423
Activated Negative aFRR Balancing Energy (kWh)_t-75min,290.80331840535723
HU-AT Schedule_t+270min,289.43318868791056
Negative GCC Energy (kWh)_t-30min,284.4420169590143
Gross System Load Forecast (Day-Ahead)_t+135min,277.8992882959108
Requested Negative aFRR Balancing Energy (kWh)_t-75min,273.8965636268074
Estimated Solar Power Production (Intraday)_t+60min,270.3561660453769
Estimated Solar Power Production (Intraday)_t+150min,269.89086387517335
HU-RO Schedule_t+30min,267.53589950888846
ssrd_mean_t+60min,265.96192411705476
Gross Certified System Load (Actual)_t-15min,265.185572713208
HU-HR Schedule_t+180min,261.6111758525381
HU-RO Schedule_t+240min,261.2225442444989
Estimated Solar Power Production (Current)_t+105min,257.3283906808016
Requested Negative aFRR Balancing Energy (kWh)_t-30min,256.63192662329686
HU-UA Schedule_t+705min,256.50670922281233
HU-SK Schedule_t+15min,255.99881535424734
Estimated Solar Power Production (Intraday)_t+120min,254.91716777115062
HU-AT Schedule_t+255min,254.62600419479213
System Direction (kWh)_t-285min,252.37819812101534
HU-AT Schedule_t+75min,250.95365619483013
Solar Power Plants Net (Operational Control)_t-375min,250.65741630474037
System Direction (kWh)_t-420min,250.14597017161796
HU-UA Schedule_t+540min,249.62299540551786
Estimated Solar Power Production (Day-Ahead)_t+90min,248.67879120624963
Gross Actual Power Plant Generation_t-90min,247.4096328937495
HU-RO Schedule_t+210min,244.19522573403827
Gross Actual Power Plant Generation,242.82979120771634
HU-RO Schedule_t+225min,242.62299370193668
ssrd_mean,242.59295041912827
Solar Power Plants Net (Operational Control)_t-135min,241.49425293328494
Activated Negative aFRR Balancing Energy (kWh)_t-30min,241.10308521991487
HU-AT Schedule_t+180min,241.02476765004522
Estimated Solar Power Production (Intraday)_t+315min,240.96994864807303
Estimated Solar Power Production (Intraday),239.82306236625772
HU-UA Schedule_t+525min,237.91461375177946
HU-UA Schedule_t+720min,236.9953600279925
Negative GCC Energy (kWh)_t-105min,235.78256887549264
Gross System Load Forecast (Day-Ahead)_t+60min,234.61595860931988
System Direction (kWh)_t-345min,234.4768480861695
HU-SK Schedule_t+30min,233.8911918589049
HU-RO Schedule_t+75min,231.58652076390882
System Direction (kWh)_t-180min,230.4832059965595
Requested Negative aFRR Balancing Energy (kWh)_t-15min,229.66432943247486
HU-AT Schedule_t+525min,228.42694871765917
HU-HR Schedule_t+210min,226.04042373971623
HU-RO_t-555min,225.49746061142577
Estimated Solar Power Production (Intraday)_t+165min,224.87915209340454
HU-UA Schedule_t+195min,224.66620185691173
HU-UA_t-285min,224.03740298326028
Estimated Solar Power Production (Intraday)_t+225min,223.6806928922586
HU-RO Schedule_t+435min,222.0269843226077
ssrd_mean_t+15min,221.95190052475422
HU-RO Schedule_t+195min,221.78857011011436
Estimated Solar Power Production (Intraday)_t+405min,221.76495299052945
Gross Actual Power Plant Generation_t-30min,221.57935349412907
Estimated Solar Power Production (Day-Ahead)_t+45min,220.51909888177715
Negative GCC Energy (kWh)_t-120min,219.706916578766
