,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,System Direction (kWh)_t+15min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,System Direction (kWh)_t+30min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,System Direction (kWh)_t+45min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,System Direction (kWh)_t+60min,Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,System Direction (kWh)_t+75min
100m_wind_speed_mean,0.005466906048119791,0.005165788986265807,0.002698778466786348,0.0058404218509223935,0.0060643121703295695,0.0026348602235486468,0.007021548150759839,0.006391210049579672,0.004151728015583536,0.007704463207110735,0.00817626142418094,0.003253320833028818,0.007582493964871162,0.007015697185512465,0.00450608420168794
100m_wind_speed_std,0.001704856327602319,0.0024480325506244073,0.001893548217461054,0.0018459439283855998,0.0016680432874375014,0.002049690057488982,0.0015407388861517176,0.001542861745292561,0.0023505922204575284,0.0021705589391540344,0.002354661674264187,0.0022203382205552543,0.0023266116441082317,0.002331058847070426,0.0025433320734061966
10m_wind_speed_mean,0.004477298987383813,0.004825886408183714,0.002479413958778099,0.004943098625893936,0.005279287799232793,0.0034233477381755565,0.005950982094472965,0.005421658478481322,0.0034352098940432243,0.004355727467790152,0.0045404844416587365,0.00425020956862544,0.004163113744781549,0.0041533274849922235,0.0031058849535521337
10m_wind_speed_std,0.004295146363941638,0.004202166535498828,0.003195449589755856,0.00353870037784493,0.0036847578722652907,0.0028267240389538073,0.0021923088331928854,0.001913185522121925,0.00378504981391672,0.0025002364171003025,0.0021048125313213933,0.0023551668620985086,0.0034555354275815605,0.0034678351973062523,0.00274225570790681
Activated Negative aFRR Balancing Energy (kWh),0.018794028662130563,0.01939749365678326,0.01191328629781799,0.01353083197672995,0.013967748243204505,0.010473862993117837,0.011308404618766145,0.010673712217749352,0.010938926751651663,0.011203087187142136,0.01118083096010721,0.008676662429173069,0.013181691396401768,0.013659761219435133,0.010478702865476499
Activated Negative aFRR Balancing Energy Cost (HUF),0.0044931587147217554,0.00423940478277199,0.0015011894949418223,0.00347550271918983,0.003058382780659747,0.0012467420997629747,0.002944879073758148,0.002791346392829752,0.0011793574749794401,0.002806744159189793,0.0029572846913900946,0.001205244077396651,0.002365478730319728,0.002283808923667391,0.0012399825725027936
Activated Positive aFRR Balancing Energy (kWh),0.009268402665888062,0.009517067641830728,0.006369926590785144,0.007479285711507055,0.007736354646169048,0.006150965778421823,0.006757362453210269,0.0066211767973386485,0.004242425339649071,0.007010787308537328,0.006797021589984843,0.004676194840411517,0.006855231795252621,0.0076151157299416804,0.004219771595681049
Activated Positive aFRR Balancing Energy Cost (HUF),0.013860402776563344,0.014371508341032676,0.005810628017264116,0.010062221394890287,0.01027174306332505,0.004791106096329645,0.007008660282072332,0.007381531076705869,0.004183011995424021,0.007944297732976884,0.007857724134220768,0.004834381047468924,0.008527555882851175,0.008413779925861899,0.003805445977568115
Estimated Solar Power Production (Current),0.005437090994422305,0.005872318677632393,0.004271063958252034,0.005948816885743599,0.005903184105242781,0.004177961104485326,0.006574005094717358,0.006797691381725599,0.0036288676575321004,0.00849723269649694,0.00826095902806628,0.004393833480240255,0.008518419655465731,0.008686290689610087,0.0038927478361272735
Estimated Solar Power Production (Day-Ahead),0.005432590228260368,0.005787627298200459,0.0038653307493350443,0.005100883519794536,0.0051958964446334,0.004002110037675413,0.0047371982158099174,0.005031917739786195,0.005198981176020515,0.00572440005858034,0.005547823626091826,0.004124728334999236,0.0057150106705603325,0.0056547301197626045,0.004005423003050874
